ID	Percent_Mapped	filesize	type	plate	platePOS	plateCOL	plateROW	fsize.cut	permap.cut
375	98.89059500959692	2848	unknown	4	11	11	7	1.5Mb-3Mb	>90%
376	98.85408299866131	3956	unknown	4	11	11	8	>3Mb	>90%
377	99.47468958930277	2388	unknown	4	12	12	1	1.5Mb-3Mb	>90%
378	81.68438266557645	312	unknown	4	12	12	2	0-750Kb	65-90%
379	16.55430711610487	340	unknown	4	12	12	3	0-750Kb	0-25%
38	99.43477779009199	4032	unknown	1	5	5	6	>3Mb	>90%
380	98.76312094671391	3296	unknown	4	12	12	4	>3Mb	>90%
381	83.11206559937524	648	unknown	4	12	12	5	0-750Kb	65-90%
382	71.22033401699385	1644	unknown	4	12	12	6	1.5Mb-3Mb	65-90%
383	98.30638559148588	2288	unknown	4	12	12	7	1.5Mb-3Mb	>90%
384	96.73088149445418	1184	unknown	4	12	12	8	750Kb-1.5Mb	>90%
385	99.06515580736543	3240	unknown	5	1	1	1	>3Mb	>90%
386	96.45823035096392	4444	unknown	5	1	1	2	>3Mb	>90%
387	96.65464165464167	4692	unknown	5	1	1	3	>3Mb	>90%
388	94.1857327865314	4208	unknown	5	1	1	4	>3Mb	>90%
389	97.82759257549174	4840	unknown	5	1	1	5	>3Mb	>90%
39	98.95585514142215	4848	unknown	1	5	5	7	>3Mb	>90%
390	96.50455927051672	4108	unknown	5	1	1	6	>3Mb	>90%
391	96.3422407452807	4432	unknown	5	1	1	7	>3Mb	>90%
392	80.03296146044624	1856	unknown	5	1	1	8	1.5Mb-3Mb	65-90%
393	99.36543167719537	3876	unknown	5	2	2	1	>3Mb	>90%
394	8.663366336633663	464	"trusted NTC"	5	2	2	2	0-750Kb	0-25%
395	97.67425905598243	3180	unknown	5	2	2	3	>3Mb	>90%
396	98.43194966000203	4404	unknown	5	2	2	4	>3Mb	>90%
397	97.4887531054858	3320	unknown	5	2	2	5	>3Mb	>90%
398	97.9462656863287	4008	unknown	5	2	2	6	>3Mb	>90%
399	97.7926801545806	4676	unknown	5	2	2	7	>3Mb	>90%
4	99.40863243049512	4312	unknown	1	1	1	4	>3Mb	>90%
40	99.29113261836254	4084	unknown	1	5	5	8	>3Mb	>90%
400	70.16205093029238	2640	unknown	5	2	2	8	1.5Mb-3Mb	65-90%
401	86.26943005181347	96	unknown	5	3	3	1	0-750Kb	65-90%
402	97.64453022194928	4980	unknown	5	3	3	2	>3Mb	>90%
403	97.62974683544304	3480	unknown	5	3	3	3	>3Mb	>90%
404	87.68643142961076	1936	unknown	5	3	3	4	1.5Mb-3Mb	65-90%
405	98.24115595416045	4476	unknown	5	3	3	5	>3Mb	>90%
406	97.76984834968778	4008	unknown	5	3	3	6	>3Mb	>90%
