size	name
3664	_S366_L001_R2_001.fastq.gz
3664	_S447_L001_R2_001.fastq.gz
3668	_S131_L001_R2_001.fastq.gz
3668	_S305_L001_R1_001.fastq.gz
3668	_S606_L001_R2_001.fastq.gz
3668	_S669_L001_R1_001.fastq.gz
3672	_S200_L001_R1_001.fastq.gz
3676	_S47_L001_R1_001.fastq.gz
3676	_S674_L001_R2_001.fastq.gz
3680	_S201_L001_R1_001.fastq.gz
3680	_S233_L001_R2_001.fastq.gz
3684	_S97_L001_R2_001.fastq.gz
3688	_S131_L001_R1_001.fastq.gz
3692	_S100_L001_R2_001.fastq.gz
3692	_S576_L001_R1_001.fastq.gz
3692	_S728_L001_R2_001.fastq.gz
3696	_S19_L001_R2_001.fastq.gz
3700	_S19_L001_R1_001.fastq.gz
3700	_S411_L001_R2_001.fastq.gz
3700	_S524_L001_R1_001.fastq.gz
3700	_S75_L001_R2_001.fastq.gz
3708	_S165_L001_R2_001.fastq.gz
3708	_S276_L001_R1_001.fastq.gz
3708	_S276_L001_R2_001.fastq.gz
3712	_S458_L001_R1_001.fastq.gz
3712	_S88_L001_R1_001.fastq.gz
3716	_S524_L001_R2_001.fastq.gz
3716	_S598_L001_R1_001.fastq.gz
3716	_S598_L001_R2_001.fastq.gz
3720	_S612_L001_R2_001.fastq.gz
3724	_S595_L001_R2_001.fastq.gz
3732	_S324_L001_R2_001.fastq.gz
3732	_S451_L001_R2_001.fastq.gz
3732	_S68_L001_R2_001.fastq.gz
3736	_S595_L001_R1_001.fastq.gz
3740	_S543_L001_R2_001.fastq.gz
3740	_S674_L001_R1_001.fastq.gz
3744	_S278_L001_R1_001.fastq.gz
3744	_S739_L001_R2_001.fastq.gz
3748	_S121_L001_R2_001.fastq.gz
3748	_S9_L001_R2_001.fastq.gz
3756	_S493_L001_R1_001.fastq.gz
3756	_S68_L001_R1_001.fastq.gz
3756	_S713_L001_R2_001.fastq.gz
3760	_S123_L001_R2_001.fastq.gz
3760	_S207_L001_R2_001.fastq.gz
3764	_S447_L001_R1_001.fastq.gz
3764	_S510_L001_R1_001.fastq.gz
3764	_S649_L001_R2_001.fastq.gz
3764	_S98_L001_R2_001.fastq.gz
3768	_S199_L001_R2_001.fastq.gz
3768	_S233_L001_R1_001.fastq.gz
3768	_S682_L001_R2_001.fastq.gz
3768	_S739_L001_R1_001.fastq.gz
3772	_S122_L001_R1_001.fastq.gz
3772	_S512_L001_R1_001.fastq.gz
3772	_S516_L001_R1_001.fastq.gz
3772	_S669_L001_R2_001.fastq.gz
3776	_S256_L001_R2_001.fastq.gz
3776	_S474_L001_R1_001.fastq.gz
3776	_S497_L001_R2_001.fastq.gz
3776	_S55_L001_R2_001.fastq.gz
3776	_S663_L001_R2_001.fastq.gz
3780	_S411_L001_R1_001.fastq.gz
3780	_S427_L001_R2_001.fastq.gz
3780	_S55_L001_R1_001.fastq.gz
3780	_S605_L001_R1_001.fastq.gz
3784	_S136_L001_R2_001.fastq.gz
3792	_S451_L001_R1_001.fastq.gz
3792	_S512_L001_R2_001.fastq.gz
3792	_S728_L001_R1_001.fastq.gz
3796	_S443_L001_R1_001.fastq.gz
3796	_S474_L001_R2_001.fastq.gz
3800	_S122_L001_R2_001.fastq.gz
3800	_S357_L001_R1_001.fastq.gz
3800	_S427_L001_R1_001.fastq.gz
3800	_S574_L001_R1_001.fastq.gz
3804	_S106_L001_R2_001.fastq.gz
3804	_S161_L001_R1_001.fastq.gz
3804	_S720_L001_R1_001.fastq.gz
3804	_S720_L001_R2_001.fastq.gz
3808	_S543_L001_R1_001.fastq.gz
3808	_S748_L001_R2_001.fastq.gz
3808	_S9_L001_R1_001.fastq.gz
3812	_S206_L001_R1_001.fastq.gz
3812	_S493_L001_R2_001.fastq.gz
3812	_S582_L001_R2_001.fastq.gz
3812	_S638_L001_R2_001.fastq.gz
3812	_S655_L001_R1_001.fastq.gz
3816	_S123_L001_R1_001.fastq.gz
3816	_S443_L001_R2_001.fastq.gz
3816	_S682_L001_R1_001.fastq.gz
3824	_S161_L001_R2_001.fastq.gz
3824	_S645_L001_R1_001.fastq.gz
3828	_S289_L001_R1_001.fastq.gz
3828	_S600_L001_R2_001.fastq.gz
3828	_S638_L001_R1_001.fastq.gz
3832	_S199_L001_R1_001.fastq.gz
3832	_S228_L001_R1_001.fastq.gz
3832	_S508_L001_R2_001.fastq.gz
3832	_S626_L001_R2_001.fastq.gz
3836	_S649_L001_R1_001.fastq.gz
3840	_S126_L001_R1_001.fastq.gz
3840	_S140_L001_R1_001.fastq.gz
3840	_S339_L001_R2_001.fastq.gz
3840	_S416_L001_R2_001.fastq.gz
3840	_S626_L001_R1_001.fastq.gz
3844	_S105_L001_R2_001.fastq.gz
3844	_S17_L001_R2_001.fastq.gz
3844	_S482_L001_R2_001.fastq.gz
3844	_S663_L001_R1_001.fastq.gz
3844	_S713_L001_R1_001.fastq.gz
3848	_S140_L001_R2_001.fastq.gz
3848	_S289_L001_R2_001.fastq.gz
3848	_S686_L001_R1_001.fastq.gz
3852	_S297_L001_R2_001.fastq.gz
3852	_S605_L001_R2_001.fastq.gz
3852	_S629_L001_R1_001.fastq.gz
3852	_S98_L001_R1_001.fastq.gz
3856	_S128_L001_R1_001.fastq.gz
3856	_S128_L001_R2_001.fastq.gz
3860	_S416_L001_R1_001.fastq.gz
3860	_S455_L001_R2_001.fastq.gz
3864	_S106_L001_R1_001.fastq.gz
3864	_S166_L001_R1_001.fastq.gz
3864	_S166_L001_R2_001.fastq.gz
3864	_S197_L001_R1_001.fastq.gz
3864	_S574_L001_R2_001.fastq.gz
3864	_S714_L001_R2_001.fastq.gz
3868	_S256_L001_R1_001.fastq.gz
3868	_S35_L001_R2_001.fastq.gz
3868	_S510_L001_R2_001.fastq.gz
3868	_S594_L001_R2_001.fastq.gz
3872	_S460_L001_R2_001.fastq.gz
3876	_S393_L001_R2_001.fastq.gz
3876	_S497_L001_R1_001.fastq.gz
3876	_S582_L001_R1_001.fastq.gz
3880	_S312_L001_R2_001.fastq.gz
3880	_S721_L001_R1_001.fastq.gz
3884	_S503_L001_R1_001.fastq.gz
3884	_S596_L001_R1_001.fastq.gz
3884	_S617_L001_R2_001.fastq.gz
3884	_S684_L001_R1_001.fastq.gz
