Sample	Error rate: mismatches (NM) / bases mapped (CIGAR)	Non-primary alignments (millions)	Reads Mapped in the bam file (millions)	% Mapped Reads	% Properly Paired Reads	% of Reads that are Ambiguously Placed (MapQ=0)	Total sequences in the bam file (millions)
SORT-183	5.336801	0	0.035195	98.66834875245304	29.756097560975608	52.685730305578915	0.03567
SORT-184	5.69309	0	0.036560999999999996	98.7814762779639	36.631362801253644	46.69836809683346	0.037011999999999996
SORT-185	4.797398	0	0.026713999999999998	99.6939841767428	19.898492312285416	63.330347813106435	0.026796
SORT-186	4.184028	0	0.000074	3.1014249790444257	0	2.347024308466052	0.002386
SORT-187	4.874904	0	0.003877	29.13285241959723	7.123534715960325	18.477607454162907	0.013307999999999999
SORT-188	5.698046	0	0.028428	99.38470144035799	37.442315760033566	47.50384561599776	0.028603999999999997
SORT-189	5.3146249999999995	0	0.027039999999999998	99.09843875980357	27.75782452539764	55.07219819687752	0.027285999999999998
SORT-19	5.947284	0	0.033503	99.32111941183446	36.683268113364164	48.025613660619	0.033732
SORT-190	5.437422	0	0.029643	98.92211172662351	32.690382433424546	51.274778081826064	0.029966
SORT-191	5.349761	0	0.022555	98.58816330098786	30.87682489728123	52.4302823673398	0.022878
SORT-192	5.059000999999999	0	0.051163	98.98812057423673	25.627829586348334	58.32914135355802	0.051685999999999996
SORT-193	4.395802	0	0.030587	99.33424266043129	15.04286827747467	69.20628734736295	0.030792
SORT-194	5.474801	0	0.03213	98.93459785687892	32.52863653159256	51.73050868333539	0.032476
SORT-195	3.496104	0	0.016345	71.45667570167001	5.735769869721081	60.16000699484131	0.022874
SORT-196	5.167764	0	0.028527999999999998	92.62337662337661	26.155844155844154	54.71103896103896	0.030799999999999998
SORT-197	5.70403	0	0.030069	89.71535982814179	30.659983291562238	46.27640529896169	0.033516
SORT-198	5.945449	0	0.037004999999999996	99.14000964475164	40.38471842683384	43.96935112254193	0.037326
SORT-199	5.6949510000000005	0	0.034638999999999996	99.18962258748067	38.02760437546532	46.443502663077716	0.034922
SORT-2	5.549485	0	0.044111	98.85039440659735	32.950878451057726	50.75743994263176	0.044624
SORT-20	5.797569	0	0.038422	98.63428659444473	86.09128715921344	41.795451044822094	0.038953999999999996
SORT-200	5.597075	0	0.032533	98.94464720194647	35.024330900243314	49.93613138686131	0.03288
SORT-201	4.158577	0	0.032056999999999995	99.03917449332674	12.629757785467127	72.69834404349976	0.032368
SORT-202	4.963082	0	0.008425	44.28616484440707	11.364592094196805	27.181455004205212	0.019024
SORT-203	5.39696	0	0.043491999999999996	99.14740345597957	32.198057721241966	50.930105320749554	0.043865999999999995
SORT-204	5.927575999999999	0	0.055622	99.48132780082987	36.757762197739304	48.020103019029904	0.055911999999999996
SORT-205	5.262964	0	0.038412999999999996	96.67539135249409	80.7620677505411	48.047012634016205	0.039734
SORT-206	5.6647	0	0.034054999999999995	96.80766388083461	82.09676502359429	44.843368014099724	0.035178
SORT-207	5.530575	0	0.035327	99.04396097342155	32.72401031737132	50.27475608388472	0.035668
SORT-208	5.730684	0	0.022934	99.15261565067013	37.16385646346736	46.54561175961954	0.023129999999999998
SORT-209	4.608855	0	0.042545	99.56238884208555	20.07862959842741	62.72348591219695	0.042732
SORT-21	5.931299999999999	0	0.036463999999999996	99.02237671084076	34.320008689984796	48.99793612861178	0.036823999999999996
SORT-210	5.270614	0	0.049110999999999995	99.19410220157545	27.84891941022016	55.994748535649364	0.04951
SORT-211	5.3626949999999995	0	0.044008	99.11265258321697	67.25823161118869	51.30399531552633	0.044402
SORT-212	5.696239	0	0.031554	99.74710754251754	86.23632800151736	40.91799962066132	0.031633999999999995
SORT-213	5.769843	0	0.043081	99.1233721411808	36.569877134048134	47.296488886843676	0.043462
SORT-214	6.130522	0	0.044102999999999996	98.96997441766527	42.44423499842915	42.758404021363496	0.044562
SORT-215	4.629389	0	0.00009499999999999999	6.089743589743589	0	4.807692307692308	0.00156
SORT-216	5.94033	0	0.041314	99.20756891749112	40.21707809048122	44.29449620593603	0.041644
SORT-217	4.787279	0	0.044077	99.66309410753856	21.661466105910552	60.726721837832955	0.044226
SORT-218	5.781533	0	0.038474	99.0474719390382	36.952939964988154	47.605807846771704	0.038844
SORT-219	5.3596070000000005	0	0.041357	98.89760390262566	29.19317040508872	56.73394232148835	0.041818
SORT-22	6.240818	0	0.038997	99.13315369362957	42.300066093853275	43.02709847984138	0.039338
SORT-220	6.236263	0	0.038937	99.2430035173574	50.466432176173726	38.08431462507009	0.039234
SORT-221	6.079721	0	0.039272999999999995	98.9742943548387	48.98689516129032	39.52872983870967	0.03968
SORT-222	6.005858	0	0.042898	98.96188982190644	38.47928393466827	45.14625818953585	0.043348
SORT-223	5.983733	0	0.039483	99.10889100858476	38.75696571113008	45.034891309804706	0.039838
SORT-224	5.608191	0	0.035501	99.24797316186749	34.53732177802628	49.70366228683254	0.035769999999999996
SORT-225	4.588456	0	0.044307	99.4277635653696	16.588124410933084	66.65769040886855	0.044562
SORT-226	5.281473	0	0.041770999999999996	99.11964311138532	28.598547767073228	58.421527217502735	0.042142
SORT-227	5.206386999999999	0	0.044513	99.07188960605386	29.05853549966615	58.93612285777877	0.04493
